area,author_group,manuscripts,desk_rejected,desk_rejection_rate,area_manuscripts,area_desk_rejected,area_desk_rejection_rate
Biomedicine & health sciences,Solo man,2995,1382,0.46143573,113421,51943,0.45796634
Biomedicine & health sciences,Solo woman,1498,652,0.43524700,113421,51943,0.45796634
Biomedicine & health sciences,All men team,27492,13672,0.49730831,113421,51943,0.45796634
Biomedicine & health sciences,All women team,4301,1776,0.41292723,113421,51943,0.45796634
Biomedicine & health sciences,Cross collaboration,77135,34461,0.44676217,113421,51943,0.45796634
Life sciences,Solo man,1448,540,0.37292818,31331,11039,0.35233475
Life sciences,Solo woman,332,130,0.39156627,31331,11039,0.35233475
Life sciences,All men team,8824,3099,0.35120127,31331,11039,0.35233475
Life sciences,All women team,652,250,0.38343558,31331,11039,0.35233475
Life sciences,Cross collaboration,20075,7020,0.34968867,31331,11039,0.35233475
Physical sciences,Solo man,10670,5253,0.49231490,184315,75950,0.41206630
Physical sciences,Solo woman,1634,856,0.52386781,184315,75950,0.41206630
Physical sciences,All men team,82154,33652,0.40962096,184315,75950,0.41206630
Physical sciences,All women team,2618,1219,0.46562261,184315,75950,0.41206630
Physical sciences,Cross collaboration,87239,34970,0.40085283,184315,75950,0.41206630
Social sciences & humanities,Solo man,2407,1334,0.55421687,19051,9561,0.50186342
Social sciences & humanities,Solo woman,1300,637,0.49000000,19051,9561,0.50186342
Social sciences & humanities,All men team,4686,2648,0.56508749,19051,9561,0.50186342
Social sciences & humanities,All women team,1658,725,0.43727382,19051,9561,0.50186342
Social sciences & humanities,Cross collaboration,9000,4217,0.46855556,19051,9561,0.50186342
